,CODIGO,CATEGORIA,ANO,MÊS,MATRICULA,CAMPUS,N_HIDROMETRO,COD_HIDROMETRO,CONCESSIONARIA,CIDADE,LOCAL,ECON_PUB,ECON_RES,ECON_COM,ECON_IND,ECON_TOTAL,LEIT_ANT,LEIT_ATUAL,VOLUME_FATURADO,OCORRENCIA,ANORMALIDADE,VALOR_AGUA,VALOR_ESGOTO,DESCONTOS,OUTROS,MULTAS_JUROS,VALOR_TOTAL,MES_N,Dtime
15,H019 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,9097821,Trindade,C11C005250,H019,CASAN,Florianópolis - Trindade,CSE 2 - CSE 9 e 10 (Bl F e G),1,0,2,0,3,13076.0,13797,721.0,LIDO/REVISÃO,Alto Consumo,13562.35,13562.35,-2563.29,0.0,0,24561.41,9,2024-09-20
16,H020 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,2296829,Trindade,C11C009540,H020,CASAN,Florianópolis - Trindade,"CSE 1 - CSE 1 ao 4 (Bl A, B, C e D) e CCJ 1 e 2 (Bl E e F)",1,0,0,0,1,2347.0,2312,0.0,LIDO/REVISÃO,CONFIRMACAO LEITURA,43.31,43.31,-8.19,-78.43,0,0.0,9,2024-09-20
17,H021 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,2296632,Trindade,B10C001813,H021,CASAN,Florianópolis - Trindade,Igrejinha UFSC (DAC 01 a 03 e DEX01),2,0,0,0,2,734.0,807,73.0,MÉDIO,Média,1162.19,1162.19,-219.65,0.0,0,2104.73,9,2024-09-20
18,H023 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,2296934,Trindade,B10C010114,H023,CASAN,Florianópolis - Trindade,Associação Volantes 1,1,0,1,0,2,16840.0,16904,64.0,MÉDIO,VIDRO DO HIDROMETRO SUADO,1001.18,1001.18,-189.22,0.0,0,1813.14,9,2024-09-20
19,H024 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,2296926,Trindade,A96C161864,H024,CASAN,Florianópolis - Trindade,Associação Volantes 2,1,0,2,0,3,25.0,25,0.0,MÉDIO,VIDRO DO HIDROMETRO SUADO,129.93,129.93,-24.56,0.0,0,235.3,9,2024-09-20
20,H025 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,2296900,Trindade,C11C001273,H025,CASAN,Florianópolis - Trindade,CFM  Bloco A,1,0,0,0,1,25577.0,26210,633.0,MÉDIO,VIDRO DO HIDROMETRO SUADO,11252.48,11252.48,-2126.72,0.0,0,20378.24,9,2024-09-20
21,H026 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,9912770,Trindade,A10C023447,H026,CASAN,Florianópolis - Trindade,CFM  Bloco B,1,0,0,0,1,3296.0,3335,39.0,MÉDIO,VIDRO DO HIDROMETRO SUADO,625.82,625.82,-118.29,0.0,0,1133.35,9,2024-09-20
22,H027 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,16701186,Trindade,C11C009484,H027,CASAN,Florianópolis - Trindade,Colégio de Aplicação,1,0,0,0,1,68130.0,68540,410.0,MÉDIO,Média,7263.01,7263.01,-1372.71,0.0,0,13153.31,9,2024-09-20
23,H028 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,6205615,Trindade,B10C017964,H028,CASAN,Florianópolis - Trindade,Nativas do Horto Botânico,1,0,0,0,1,2039.0,2073,34.0,LIDO/REVISÃO,HIDRÔMETRO RETIRADO.,536.37,536.37,-101.37,0.0,0,971.37,9,2024-09-20
24,H029 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,7297220,Trindade,A08X051927,H029,CASAN,Florianópolis - Trindade,Moradia Estudantil - Portaria,1,0,0,0,1,309.0,313,4.0,LIDO,Sem ocorrência,68.79,68.79,-13.0,0.0,0,124.58,9,2024-09-20
25,H030 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,2296276,Trindade,E11C000101,H030,CASAN,Florianópolis - Trindade,Moradia Estudantil,0,30,0,0,30,6394.0,8362,1968.0,LIDO/REVISÃO,CONFIRMACAO LEITURA,32136.48,32136.48,-6073.79,0.0,0,58199.17,9,2024-09-20
26,H032 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,2296659,Trindade,C11C001576,H032,CASAN,Florianópolis - Trindade,Biblioteca Central,1,0,0,0,1,1766.0,1999,233.0,MÉDIO,Média,4096.48,4096.48,-774.23,0.0,0,7418.73,9,2024-09-20
27,H033 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,2296667,Trindade,B10C014063,H033,CASAN,Florianópolis - Trindade,"CTC - Salas de Aula, Eng. Elétrica, Produção - CTC 1 ao 5, ",1,0,1,0,2,4704.0,4882,178.0,LIDO,Sem ocorrência,3220.82,3220.82,-608.74,0.0,0,5832.9,9,2024-09-20
28,H034 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,8416621,Trindade,B10C014069,H034,CASAN,Florianópolis - Trindade,CTC - Eng. Sanitária e Amb. - CTC 12 e 37,1,0,0,0,1,5883.0,6140,257.0,LIDO,Alto Consumo,4525.84,4525.84,-855.39,0.0,0,8196.29,9,2024-09-20
29,H035 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,2296845,Trindade,B10C022164,H035,CASAN,Florianópolis - Trindade,CTC - Eng. Elétrica INEP - CTC 06,1,0,0,0,1,621.0,633,12.0,LIDO,Sem ocorrência,142.79,142.79,-27.0,0.0,0,258.58,9,2024-09-20
30,H037 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,6435548,Trindade,Y13F347112,H037,CASAN,Florianópolis - Trindade,"CTC - Eng. Mecânica - CTC 9, 10 e 37",1,0,0,0,1,3972.0,4171,199.0,LIDO,Sem ocorrência,3488.22,3488.22,-659.27,0.0,0,6317.17,9,2024-09-20
31,H038 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,2296683,Trindade,B10C014806,H038,CASAN,Florianópolis - Trindade,CTC - Eng. Mecânica CTC 11 Bloco B (Pavilhão) e CTC 31 INE,1,0,0,0,1,9951.0,183,232.0,LIDO/REVISÃO,CONFIRMACAO LEITURA,4078.59,4078.59,-770.85,0.0,0,7386.33,9,2024-09-20
32,H040 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,2296691,Trindade,C11C000642,H040,CASAN,Florianópolis - Trindade,Reitoria I,1,0,0,1,2,49255.0,49541,286.0,LIDO,Alto Consumo,4972.76,4972.76,-939.86,0.0,0,9005.66,9,2024-09-20
33,H041 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,2296810,Trindade,C11C010608,H041,CASAN,Florianópolis - Trindade,CCE 1  Básico,1,0,1,0,2,4810.0,5119,309.0,MÉDIO,VIDRO DO HIDROMETRO SUADO,5867.03,5867.03,-1108.86,0.0,0,10625.2,9,2024-09-20
34,H042 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,2296802,Trindade,C11C001909,H042,CASAN,Florianópolis - Trindade,CCE 2  R. Eng. Andrey C. Ferreira,1,0,0,0,1,2876.0,3355,479.0,MÉDIO,VIDRO DO HIDROMETRO SUADO,8497.42,8497.42,-1606.02,0.0,0,15388.82,9,2024-09-20
35,H043 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,6816860,Trindade,A94S171408,H043,CASAN,Florianópolis - Trindade,Casa de Veg.  Depto. de Microbiologia,1,0,0,0,1,105.0,109,4.0,MÉDIO,VIDRO DO HIDROMETRO SUADO,68.79,68.79,-13.0,0.0,0,124.58,9,2024-09-20
36,H044 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,2296896,Trindade,C11C001908,H044,CASAN,Florianópolis - Trindade,CFM Oceanografia e entorno,1,0,0,0,1,1010.0,1089,79.0,LIDO,Sem ocorrência,1341.42,1341.42,-253.54,0.0,0,2429.3,9,2024-09-20
37,H045 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,2296772,Trindade,,H045,CASAN,Florianópolis - Trindade,"Museologia e MArquE (MU01, MU10 e CFH09)",1,0,0,0,1,5347.0,5456,109.0,LIDO/REVISÃO,CONFIRMACAO LEITURA,1878.12,1878.12,-354.97,0.0,0,3401.27,9,2024-09-20
38,H046 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,2296780,Trindade,B10C017966,H046,CASAN,Florianópolis - Trindade,CCB Botânica,1,0,0,0,1,2546.0,2631,85.0,LIDO,Sem ocorrência,1448.76,1448.76,-273.82,0.0,0,2623.7,9,2024-09-20
39,H047 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,2296837,Trindade,C11C009598,H047,CASAN,Florianópolis - Trindade,NDI e MArquE,1,0,0,0,1,17230.0,17567,337.0,LIDO/REVISÃO,Alto Consumo,5957.04,5957.04,-1125.88,0.0,0,10788.2,9,2024-09-20
40,H048 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,2296764,Trindade,C11C001910,H048,CASAN,Florianópolis - Trindade,Centro de Filosofia e Humanas 1,1,0,0,0,1,40474.0,41095,621.0,MÉDIO,Média,11037.8,11037.8,-2086.15,0.0,0,19989.45,9,2024-09-20
41,H049 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,9197478,Trindade,B10C019220,H049,CASAN,Florianópolis - Trindade,Centro de Educação 1,1,0,0,0,1,3059.0,3148,89.0,MÉDIO,VIDRO DO HIDROMETRO SUADO,1520.32,1520.32,-287.34,0.0,0,2753.3,9,2024-09-20
42,H050 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,2296748,Trindade,A13C020929,H050,CASAN,Florianópolis - Trindade,Centro de Educação 2,1,0,0,0,1,7701.0,7960,259.0,MÉDIO,VIDRO DO HIDROMETRO SUADO,4561.62,4561.62,-862.15,0.0,0,8261.09,9,2024-09-20
43,H051 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,2296756,Trindade,A13C043944,H051,CASAN,Florianópolis - Trindade,Centro de Convivência,1,0,4,0,5,730.0,730,0.0,LIDO,HIDRÔMETRO PARADO.,216.55,216.55,-40.93,0.0,0,392.17,9,2024-09-20
44,H053 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,2296713,Trindade,C11C010440,H053,CASAN,Florianópolis - Trindade,"Centro de Eventos, NUMA, Editora UFSC, EGC",1,0,0,0,1,33345.0,33494,149.0,LIDO/REVISÃO,CONFIRMACAO LEITURA,2593.72,2593.72,-490.21,0.0,0,4697.23,9,2024-09-20
45,H054 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,6923020,Trindade,B17C002561,H054,CASAN,Florianópolis - Trindade,Arquitetura e Urbanismo,1,0,0,0,1,7393.0,7480,87.0,LIDO/REVISÃO,CONFIRMACAO LEITURA,1484.54,1484.54,-280.58,0.0,0,2688.5,9,2024-09-20
46,H055 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,2296705,Trindade,G15AA00021,H055,CASAN,Florianópolis - Trindade,Centro de Desportos,1,0,1,0,2,51344.0,52574,1230.0,LIDO,Sem ocorrência,24471.22,24471.22,-4625.06,0.0,0,44317.38,9,2024-09-20
47,H056 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,2296721,Trindade,E11C000742,H056,CASAN,Florianópolis - Trindade,Restaurante Universitário 2,1,0,1,0,2,135456.0,138031,2575.0,MÉDIO,VIDRO DO HIDROMETRO SUADO,51640.23,51640.23,-9759.99,0.0,0,93520.47,9,2024-09-20
48,H057 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,2297108,Trindade,A95L322012,H057,CASAN,Florianópolis - Trindade,"PU - Prefeitura Universitária - Oficina, Serralheria e Mecânica (PU11)",1,0,0,0,1,2483.0,2540,57.0,LIDO,Sem ocorrência,947.84,947.84,-179.14,0.0,0,1716.54,9,2024-09-20
49,H058 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,9611070,Trindade,C11C005856,H058,CASAN,Florianópolis - Trindade,"CCB - Blocos A, B, C e D - 2 - Córrego Grande",1,0,0,0,1,20057.0,20690,633.0,LIDO,Sem ocorrência,11252.48,11252.48,-2126.72,0.0,0,20378.24,9,2024-09-20
50,H059 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,2296675,Trindade,A13C020930,H059,CASAN,Florianópolis - Trindade,CTC - Setic e Almoxarifado (CTC 8 e 14),1,0,0,0,1,4.0,22,18.0,LIDO,Alto Consumo,250.13,250.13,-47.27,0.0,0,452.99,9,2024-09-20
51,H060 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,5329663,Trindade,A13C021299,H060,CASAN,Florianópolis - Trindade,Reitoria II,1,0,0,0,1,3393.0,3581,188.0,LIDO,Sem ocorrência,3291.43,3291.43,-622.09,0.0,0,5960.77,9,2024-09-20
52,H061 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,2296870,Trindade,B10C013871,H061,CASAN,Florianópolis - Trindade,CCB Anatômico,1,0,1,0,2,341.0,434,93.0,LIDO/REVISÃO,Alto Consumo,1520.0,1520.0,-287.28,0.0,0,2752.72,9,2024-09-20
53,H062 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,15023672,Trindade,C11C010415,H062,CASAN,Florianópolis - Trindade,CFM  Bloco EFI,1,0,0,0,1,17210.0,17716,506.0,MÉDIO,VIDRO DO HIDROMETRO SUADO,8980.45,8980.45,-1697.31,0.0,0,16263.59,9,2024-09-20
54,H066 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,17091764,Trindade,F11C000153,H066,CASAN,Florianópolis - Trindade,"CCB - Blocos E, F e G e Biotério (BIC 12)",1,0,0,0,1,25324.0,25815,491.0,LIDO,Alto Consumo,8712.1,8712.1,-1646.59,0.0,0,15777.61,9,2024-09-20
55,H072 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,2297167,CCA - Itacorubi,B10C017343,H072,CASAN,Florianópolis - Outros,CCA 1,1,0,0,0,1,4306.0,5023,717.0,MÉDIO,Média,12755.24,0.0,-1205.37,0.0,0,11549.87,9,2024-09-20
56,H073 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,2297175,CCA - Itacorubi,A05S578217,H073,CASAN,Florianópolis - Outros,CCA  Estação Experimental de Aquicultura,1,0,0,0,1,4567.0,4669,102.0,MÉDIO,Média,1752.89,0.0,-165.65,0.0,0,1587.24,9,2024-09-20
57,H074 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,2297183,CCA - Itacorubi,C11C010252,H074,CASAN,Florianópolis - Outros,CCA 2,1,0,0,0,1,11372.0,12122,750.0,MÉDIO,VIDRO DO HIDROMETRO SUADO,13345.61,0.0,-1261.17,0.0,0,12084.44,9,2024-09-20
58,H076 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,2297361,CCA - Cidade das Abelhas ,A10C001421,H076,CASAN,Florianópolis - Outros,"Cidade das Abelhas  Rod. Virgílio Várzea, 2600",1,0,0,0,1,1247.0,1292,45.0,LIDO,Alto Consumo,733.16,0.0,-69.28,0.0,0,663.88,9,2024-09-20
59,H081 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,2295652,SEAD - TV UFSC,B17C002628,H081,CASAN,Florianópolis - Outros,Rua Presidente Coutinho,1,0,0,0,1,3094.0,3159,65.0,LIDO,Sem ocorrência,1090.96,1090.96,-206.19,0.0,0,1975.73,9,2024-09-20
60,H082 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,5716594,CCA - Tapera,C11C010040,H082,CASAN,Florianópolis - Outros,CCA Tapera - Fazenda Experimental da Ressacada,1,0,0,0,1,29559.0,30041,482.0,LIDO,Sem ocorrência,8551.09,0.0,-808.07,0.0,0,7743.02,9,2024-09-20
61,H083 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,6997937,Casa da Arte,A16S368708,H083,CASAN,Florianópolis - Outros,Casa da Arte,1,0,0,0,1,497.0,520,23.0,LIDO,Alto Consumo,339.58,339.58,-64.17,0.0,0,614.99,9,2024-09-20
62,H084 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,9197419,CCA - Barra da Lagoa - EMEB-AQI,B11C024230,H084,CASAN,Florianópolis - Outros,LMM Área de produção,1,0,0,0,1,3434.0,3764,330.0,MÉDIO,Média,5831.81,5831.81,-1102.21,0.0,0,10561.41,9,2024-09-20
63,H085 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,12791172,SECARTE - Praia do Forte,Y11C048501,H085,CASAN,Florianópolis - Outros,Fortaleza de São José da Ponta Grossa,1,0,0,0,1,348.0,362,14.0,LIDO,Sem ocorrência,178.57,0.0,-16.88,0.0,0,161.69,9,2024-09-20
64,H086 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,12799408,UFSC  Jurerê,Y11C056745,H086,CASAN,Florianópolis - Outros,UFSC  Jurerê,1,0,0,0,1,521.0,523,2.0,LIDO,Alto Consumo,56.05,0.0,-5.29,0.0,0,50.76,9,2024-09-20
65,H087 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,13018540,UFSC  Sambaqui,A06S080329,H087,CASAN,Florianópolis - Outros,UFSC  Sambaqui,1,0,0,0,1,2295.0,2356,61.0,LIDO,Sem ocorrência,1019.4,0.0,-96.33,0.0,0,923.07,9,2024-09-20
66,H088 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,2294605,Casa Vida e Saúde,Y11C073654,H088,CASAN,Florianópolis - Outros,Casa Vida e Saúde,1,0,0,0,1,15.0,15,0.0,LIDO,HIDRÔMETRO PARADO.,43.31,43.31,-8.19,0.0,0,78.43,9,2024-09-20
67,H089 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,2347660,CCA - Barra da Lagoa - EMEB-AQI,B17C007633,H089,CASAN,Florianópolis - Outros,"LAPOM, LAPMAR, LCM, LCA",1,0,0,0,1,3217.0,3528,311.0,MÉDIO,Média,5491.9,5491.9,-1037.96,0.0,0,9945.84,9,2024-09-20
68,H090 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,2347679,CCA - Barra da Lagoa - EMEB-AQI,A15C030480,H090,CASAN,Florianópolis - Outros,"LMM - Guarita, convivência, oficina e escritórios",1,0,0,0,1,603.0,663,60.0,LIDO,Alto Consumo,1001.51,1001.51,-189.28,0.0,0,1813.74,9,2024-09-20
69,H106 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,14948508,CCA - Araquari - Barra do Sul,B11C061116,H106,CASAN,Araquari,Fazenda UFSC/Yakult - Lab. de Camarões Marinhos,1,0,0,0,1,3660.0,3670,10.0,LIDO,Sem ocorrência,107.01,0.0,-10.12,0.0,0,96.89,9,2024-09-20
70,H108 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,0,Joinville - Perini B. P.,A15B040774,H108,Condomínio Perini,Joinville,Bloco U - RU LAV,0,0,1,0,1,4440.4,"4483,12",42.72,0,0,508.37,406.69,0.0,0.0,0,915.06,9,2024-09-20
71,H109 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,0,Joinville - Perini B. P.,F17B900021,H109,Condomínio Perini,Joinville,Bloco O - O1,0,0,1,0,1,1953.42,"1990,531",37.111,0,0,441.62,353.3,0.0,0.0,0,794.9200000000001,9,2024-09-20
72,H110 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,0,Joinville - Perini B. P.,F17B900028,H110,Condomínio Perini,Joinville,Bloco U - RU,0,0,1,0,1,6057.06,"6151,72",94.66,0,0,1126.45,901.16,0.0,0.0,0,2027.61,9,2024-09-20
73,H111 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,0,Joinville - Perini B. P.,C16UB020205,H111,Condomínio Perini,Joinville,Bloco U - U,0,0,1,0,1,5108.916,"5241,143",132.227,0,0,1573.5,1258.8,0.0,0.0,0,2832.3,9,2024-09-20
74,H112 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,0,Joinville - Perini B. P.,,H112,Condomínio Perini,Joinville,Tunel de Vento - LAB 01,0,0,1,0,1,494.458,"497,157",2.699,0,0,119.0,95.2,0.0,0.0,0,214.2,9,2024-09-20
75,H113 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,0,Joinville - Perini B. P.,,H113,Condomínio Perini,Joinville,Bloco U - U LAB,0,0,1,0,1,,4.368,4.368,0,0,119.0,95.2,0.0,0.0,0,214.2,9,2024-09-20
76,H130 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,0,Sapiens Park,,H130,Condomínio Sapiens Park,Florianópolis - Outros,Sapiens Park - INPETRO,1,0,0,0,1,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,9,2024-09-20
77,H131 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,0,Sapiens Park,,H131,Condomínio Sapiens Park,Florianópolis - Outros,Sapiens Park - Fotovoltaica,1,0,0,0,1,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,9,2024-09-20
78,H200 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,15431797,Centro,B17C003784,H200,CASAN,Curitibanos,Curitibanos CEDUP,1,0,0,0,1,2980.0,3142,162.0,0,0,2826.29,0.0,-267.08,0.0,0,2559.21,9,2024-09-20
79,H201 2024 Setembro,Medidor não instalado,2024,Setembro,0,Área Sede,,H201,Interno,Curitibanos,Curitibanos SEDE - Água Subterrânea,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,9,2024-09-20
80,H202 2024 Setembro,Medidor não instalado,2024,Setembro,0,Área Sede,,H202,Interno,Curitibanos,Curitibanos SEDE - ETE,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,9,2024-09-20
81,H300 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,196916,Araranguá,A15L279126,H300,SAMAE ARARANGUÁ,Araranguá,SAMAE Araranguá  Mato Alto,1,0,0,0,1,4210.0,4236,26.0,0,0,304.91,0.0,0.0,0.0,0,304.91,9,2024-09-20
82,H302 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,107568,Araranguá,A22LN0055338,H302,SAMAE ARARANGUÁ,Araranguá,SAMAE Araranguá  R. Pedro M. Pacheco (Medicina),1,0,0,0,1,170.0,179,10.0,0,0,96.81,71.06,0.0,0.0,0,167.87,9,2024-09-20
83,H401 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,38988,Blumenau,A12S141289,H401,SAMAE BLUMENAU,Blumenau,"SAMAE Blumenau  Rua João Pessoa, 2750",1,0,0,0,1,3429.0,3494,65.0,0,0,486.3,564.15,-53.31,0.0,0,997.14,9,2024-09-20
