Código,Categoria,ANO,MÊS,MATRÍCULA,CAMPUS,NÚMERO DO HIDRÔMETRO,NOMENCLATURA UFSC (H000),CONCESSIONÁRIA,CIDADE,CONTAS - LOCALIZAÇÃO,Público,Residencial,Comercial,Industrial,Total de Economias,Leitura Anterior,Leitura Atual,VOLUME MENSAL CONSUMIDO (m³),VOLUME MENSAL FATURADO (m³),OCORRÊNCIAS,ANORMALIDADE,ÁGUA (R$),ESGOTO (R$),DESCONTOS (R$),OUTROS (R$),MULTAS/ JUROS (R$),VALOR (R$),Verificação,Diferença
H020 2016 Janeiro,17,2016,Janeiro,2296829,2016-01-22 00:00:00,C11C009540,H020,CASAN,Florianópolis,Centro Socioeconômico,,,,1.0,1,3154,3468,314.0,314,Informado,,2725.28,2725.28,-571.69,192.12,406.92,5477.91,5477.910000000001,0
H021 2016 Janeiro,18,2016,Janeiro,2296632,2016-01-22 00:00:00,B10C001813,H021,CASAN,Florianópolis,Igrejinha UFSC,,,,2.0,2,1092,1099,7.0,20,Mínimo,,105.94,105.94,-21.09,3.62,7.68,202.09,202.09,0
H023 2016 Janeiro,19,2016,Janeiro,2296934,2016-01-22 00:00:00,B10C013880,H023,CASAN,Florianópolis,Associação Volantes 1,,,,1.0,1,8000,8134,134.0,134,Informado,,1142.99,1142.99,-237.83,73.97,156.66,2278.78,2278.7799999999997,0
H024 2016 Janeiro,20,2016,Janeiro,2296926,2016-01-22 00:00:00,A96C161864,H024,CASAN,Florianópolis,Associação Volantes 2,,1.0,,1.0,2,179,178,-1.0,20,Mínimo,,105.94,105.94,-21.09,3.62,7.68,202.09,202.09,0
H025 2016 Janeiro,21,2016,Janeiro,2296900,2016-01-22 00:00:00,C11C001390,H025,CASAN,Florianópolis,CFM Bloco A,,,,1.0,1,885,1205,320.0,320,Lido,,2778.02,2778.02,-555.26,102.53,217.16,5320.47,5320.469999999999,0
H026 2016 Janeiro,22,2016,Janeiro,9912770,2016-01-22 00:00:00,A10C023447,H026,CASAN,Florianópolis,CFM Bloco B,,,,1.0,1,1143,1187,44.0,44,Médio,,351.85,351.85,-68.45,6.62,14.02,655.89,655.89,0
H027 2016 Janeiro,23,2016,Janeiro,2296888,2016-01-22 00:00:00,C11C009484,H027,CASAN,Florianópolis,Colégio Aplicação,,,,1.0,1,3238,3589,351.0,351,Médio,,3050.53,3050.53,-599.41,77.58,164.3,5743.53,5743.530000000001,0
H028 2016 Janeiro,24,2016,Janeiro,6205615,2016-01-22 00:00:00,A05S578084,H028,CASAN,Florianópolis,Nativas do Horto Botânico,,,,1.0,1,7409,7419,10.0,10,Médio,,52.97,52.97,-10.56,1.81,3.84,101.03,101.03,0
H029 2016 Janeiro,25,2016,Janeiro,7297220,2016-01-11 00:00:00,A08X051927,H029,CASAN,Florianópolis,Moradia Estudantil - Portaria,,,,1.0,1,1918,1919,1.0,10,Mínimo,,52.97,52.97,-10.56,1.81,3.84,101.03,101.03,0
H030 2016 Janeiro,26,2016,Janeiro,2296276,2016-01-11 00:00:00,E11C000101,H030,CASAN,Florianópolis,Moradia Estudantil,30.0,,,,30,970,1795,825.0,825,Lido,,4728.57,4728.57,-933.72,135.8,287.64,8946.86,8946.859999999999,0
H032 2016 Janeiro,27,2016,Janeiro,2296659,2016-01-22 00:00:00,C11C001886,H032,CASAN,Florianópolis,Biblioteca Central,,,,1.0,1,912,1031,119.0,119,Lido,,1011.13,1011.13,-203.24,41.2,87.26,1947.48,1947.48,0
H033 2016 Janeiro,28,2016,Janeiro,2296667,2016-01-22 00:00:00,B10C014063,H033,CASAN,Florianópolis,CTC 1 - R. Delfino Conti,,1.0,,1.0,2,630,727,97.0,97,Lido,,782.8,782.8,-161.81,47.02,99.6,1550.41,1550.4099999999999,0
H034 2016 Janeiro,29,2016,Janeiro,8416621,2016-01-22 00:00:00,B10C014069,H034,CASAN,Florianópolis,CTC Bloco L - R. Delfino Conti,,,,1.0,1,618,717,99.0,99,Informado,,835.32,835.32,-174.62,56.83,120.36,1673.21,1673.2099999999998,0
H035 2016 Janeiro,30,2016,Janeiro,2296845,2016-01-22 00:00:00,B10C022164,H035,CASAN,Florianópolis,CTC 2 - INEP,,,,1.0,1,344,346,2.0,10,Informado,,52.97,52.97,-11.16,3.92,8.3,107.0,107.0,0
H037 2016 Janeiro,31,2016,Janeiro,6435548,2016-01-22 00:00:00,Y13F347112,H037,CASAN,Florianópolis,CTC Bloco A - POLO,,,1.0,1.0,2,2372,2403,31.0,31,Informado,,202.64,202.64,-51.24,43.91,93.0,490.95,490.94999999999993,0
H038 2016 Janeiro,32,2016,Janeiro,2296683,2016-01-22 00:00:00,B10C014806,H038,CASAN,Florianópolis,Pavilhão Eng. Mecânica,,,,1.0,1,784,804,20.0,20,Informado,,140.88,140.88,-45.05,62.54,132.46,431.71,431.71000000000004,0
H040 2016 Janeiro,33,2016,Janeiro,2296691,2016-01-22 00:00:00,C11C000642,H040,CASAN,Florianópolis,Reitoria I,,,,1.0,1,10296,10490,194.0,194,Informado,,1670.42,1670.42,-343.98,95.92,203.16,3295.94,3295.94,0
H041 2016 Janeiro,34,2016,Janeiro,2296810,2016-01-22 00:00:00,C11C010608,H041,CASAN,Florianópolis,CCE 1 - Básico,,1.0,,1.0,2,4465,4498,33.0,33,Informado,,220.22,220.22,-55.78,48.04,101.76,534.46,534.46,0
H042 2016 Janeiro,35,2016,Janeiro,2296802,2016-01-22 00:00:00,C11C001309,H042,CASAN,Florianópolis,CCE 2 - R. Eng. Andrey C. Ferreira,,,,1.0,1,1837,1921,84.0,84,Informado,,703.47,703.47,-183.98,173.18,366.8,1762.94,1762.94,0
H043 2016 Janeiro,36,2016,Janeiro,6816860,2016-01-22 00:00:00,A94S171408,H043,CASAN,Florianópolis,Casa de Veg. - Depto. Microbiologia,,,,1.0,1,674,676,2.0,10,Mínimo,,52.97,52.97,-10.56,1.81,3.84,101.03,101.03,0
H044 2016 Janeiro,37,2016,Janeiro,2296896,2016-01-22 00:00:00,C11C001908,H044,CASAN,Florianópolis,CCB Carvoeira 1 - Lab. de ensino e pesquisa,,,,1.0,1,432,491,59.0,59,Informado,,483.7,483.7,-97.17,19.55,41.4,931.18,931.18,0
H045 2016 Janeiro,38,2016,Janeiro,2296772,2016-01-22 00:00:00,B11C039161,H045,CASAN,Florianópolis,Museu de Antropologia,,,,1.0,1,602,610,8.0,10,Mínimo,,52.97,52.97,-10.56,1.81,3.84,101.03,101.03,0
H046 2016 Janeiro,39,2016,Janeiro,2296780,2016-01-22 00:00:00,B10C007949,H046,CASAN,Florianópolis,Horto Botânico,,,,1.0,1,4493,7408,2915.0,98,Informado,,826.53,826.53,-164.37,27.67,58.6,1574.96,1574.96,0
H047 2016 Janeiro,40,2016,Janeiro,2296837,2016-01-22 00:00:00,C11C009598,H047,CASAN,Florianópolis,Creche UFSC,,,,1.0,1,8208,9770,1562.0,1562,Lido,,13695.83,13695.83,-2739.56,512.61,1085.74,26250.45,26250.45,0
H048 2016 Janeiro,41,2016,Janeiro,2296764,2016-01-22 00:00:00,C11C001910,H048,CASAN,Florianópolis,Centro de Filosofia e Humanas 1,,,,1.0,1,1496,1659,163.0,163,Informado,,1397.92,1397.92,-298.75,117.26,248.36,2862.71,2862.7100000000005,0
H049 2016 Janeiro,42,2016,Janeiro,9197478,2016-01-22 00:00:00,B10C002846,H049,CASAN,Florianópolis,Centro de Educação 1,,,,1.0,1,7348,7504,156.0,156,Lido,,1336.38,1336.38,-260.72,27.67,58.6,2498.31,2498.31,0
H050 2016 Janeiro,43,2016,Janeiro,2296748,2016-01-22 00:00:00,A13C020929,H050,CASAN,Florianópolis,Centro de Educação 2,,,,1.0,1,1312,1441,129.0,129,Lido,,1099.04,1099.04,-215.87,27.67,58.6,2068.48,2068.48,0
H051 2016 Janeiro,44,2016,Janeiro,2296756,2016-01-22 00:00:00,A13C043944,H051,CASAN,Florianópolis,Centro de Convivência,,5.0,,1.0,6,324,330,6.0,60,Informado,,317.82,317.82,-65.48,18.39,38.94,627.49,627.49,0
H052 2016 Janeiro,45,2016,Janeiro,2296730,2016-01-22 00:00:00,A99S330478,H052,CASAN,Florianópolis,Restaurante Universitário 1,,,,1.0,1,16907,17461,554.0,554,Médio,,4835.0,4835.0,-962.55,165.36,350.24,9223.05,9223.050000000001,0
H053 2016 Janeiro,46,2016,Janeiro,2296713,2016-01-22 00:00:00,C11C010440,H053,CASAN,Florianópolis,Centro de Eventos,,,,1.0,1,11787,12295,508.0,508,Informado,,4430.64,4430.64,-891.96,185.21,392.28,8546.81,8546.810000000001,0
H054 2016 Janeiro,47,2016,Janeiro,6923020,2016-01-22 00:00:00,B10C002843,H054,CASAN,Florianópolis,Arquitetura e Urbanismo,,,,1.0,1,9478,9834,356.0,356,Lido,,3094.48,3094.48,-612.33,93.21,197.42,5867.26,5867.26,0
H055 2016 Janeiro,48,2016,Janeiro,2296705,2016-01-22 00:00:00,G15AA00021,H055,CASAN,Florianópolis,Centro de Desportos,,1.0,,1.0,2,23052,27465,4413.0,4413,Médio,,43612.25,,-4390.47,913.31,1934.42,42069.51,42069.509999999995,0
H056 2016 Janeiro,49,2016,Janeiro,2296721,2016-01-22 00:00:00,E11C000742,H056,CASAN,Florianópolis,Restaurante Universitário 2,,1.0,,1.0,2,2155,2543,388.0,388,Informado,,3667.35,3667.35,-753.89,206.21,436.76,7223.78,7223.78,0
H057 2016 Janeiro,50,2016,Janeiro,2297108,2016-01-20 00:00:00,A95L322012,H057,CASAN,Florianópolis,Setor da Hidráulica,,,,1.0,1,2374,2386,12.0,12,Lido,,70.55,,-7.02,1.21,2.56,67.3,67.3,0
H058 2016 Janeiro,51,2016,Janeiro,9611070,2016-01-20 00:00:00,C11C005856,H058,CASAN,Florianópolis,CCB MIP 2,,,,1.0,1,15918,16056,138.0,138,Informado,,1178.15,1178.15,-234.19,39.09,82.8,2244.0,2244.0000000000005,0
H059 2016 Janeiro,52,2016,Janeiro,2296675,2016-01-22 00:00:00,A13C020930,H059,CASAN,Florianópolis,CTC 3,,,,1.0,1,331,394,63.0,63,Lido,,518.87,518.87,-100.55,8.43,17.84,963.46,963.46,0
H060 2016 Janeiro,53,2016,Janeiro,5329663,2016-01-16 00:00:00,A13C021299,H060,CASAN,Florianópolis,Reitoria II,,,,1.0,1,1160,1213,53.0,53,Lido,,430.96,430.96,-88.89,25.26,53.5,851.79,851.79,0
H061 2016 Janeiro,54,2016,Janeiro,2296870,2016-01-22 00:00:00,B10C013871,H061,CASAN,Florianópolis,CCB Anatômico,,1.0,,1.0,2,7351,7452,101.0,101,Informado,,819.11,819.11,-161.2,21.66,45.88,1544.56,1544.5600000000002,0
H062 2016 Janeiro,55,2016,Janeiro,15023672,2016-01-22 00:00:00,C11C010415,H062,CASAN,Florianópolis,CFM - Bloco EFI - R. Eng. Agr. Andrey C. Ferreira,,,,1.0,1,2122,2195,73.0,73,Informado,,606.77,,-73.2,53.82,114.0,701.39,701.39,0
H072 2016 Janeiro,56,2016,Janeiro,2297167,2016-01-22 00:00:00,B10C017343,H072,CASAN,Florianópolis,CCA 1,,,,1.0,1,636,787,151.0,151,Lido,,1292.43,,-130.29,27.66,58.6,1248.4,1248.4,0
H073 2016 Janeiro,57,2016,Janeiro,2297175,2016-01-22 00:00:00,A05S578217,H073,CASAN,Florianópolis,Estação Experimental de Aquicultura,,,,1.0,1,7092,7138,46.0,46,Lido,,369.43,,-37.52,8.87,18.8,359.58,359.58000000000004,0
H074 2016 Janeiro,58,2016,Janeiro,2297183,2016-01-22 00:00:00,C11C000064,H074,CASAN,Florianópolis,CCA 2,,,,1.0,1,29600,30455,855.0,855,Lido,,7480.94,,-738.44,106.88,226.38,7075.76,7075.76,0
H076 2016 Janeiro,59,2016,Janeiro,2297361,2016-01-15 00:00:00,A10C001421,H076,CASAN,Florianópolis,"Cidade das Abelhas - Rod. Virgílio Várzea, 2600",,,,1.0,1,1202,1202,0.0,10,Informado,,52.97,,-6.34,4.51,9.56,60.7,60.699999999999996,0
H081 2016 Janeiro,60,2016,Janeiro,2295652,2016-01-21 00:00:00,A13C040670,H081,CASAN,Florianópolis,UFSC do MEC,,,,1.0,1,1475,1505,30.0,30,Lido,,228.78,228.78,-46.96,12.63,26.76,449.99,449.99,0
H082 2016 Janeiro,61,2016,Janeiro,5716594,2016-01-12 00:00:00,C11C010040,H082,CASAN,Florianópolis,CCA - Tapera,,,,1.0,1,870,1595,725.0,725,Lido,,6338.18,,-617.16,61.79,130.86,5913.67,5913.67,0
H083 2016 Janeiro,62,2016,Janeiro,6997937,2016-01-21 00:00:00,Y11C071117,H083,CASAN,Florianópolis,Casa da Arte,,1.0,,,1,601,601,0.0,10,Mínimo,,52.97,52.97,-10.56,1.81,3.84,101.03,101.03,0
H084 2016 Janeiro,63,2016,Janeiro,9197419,2016-01-18 00:00:00,B11C024230,H084,CASAN,Florianópolis,"Centro de Pesquisa - Bc dos Coroas, SN",,,,1.0,1,5289,5588,299.0,299,Lido,,2593.42,2593.42,-495.3,17.45,36.96,4745.95,4745.95,0
H085 2016 Janeiro,64,2016,Janeiro,12791172,2016-01-12 00:00:00,Y11C048501,H085,CASAN,Florianópolis,Fortaleza de São José da Ponta Grossa,,,,1.0,1,270,280,10.0,10,Lido,,52.97,,-5.27,0.91,1.92,50.53,50.53,0
H086 2016 Janeiro,65,2016,Janeiro,12799408,2016-01-12 00:00:00,Y11C056745,H086,CASAN,Florianópolis,UFSC - Jurerê,,,,1.0,1,92,82,-10.0,10,Mínimo,,52.97,,-5.27,0.91,1.92,50.53,50.53,0
H087 2016 Janeiro,66,2016,Janeiro,13018540,2016-01-13 00:00:00,A06S080329,H087,CASAN,Florianópolis,UFSC-Sambaqui,,,,1.0,1,4815,4844,29.0,29,Lido,,219.99,,-21.9,3.76,7.96,209.81,209.81,0
H088 2016 Janeiro,67,2016,Janeiro,2294605,2016-01-21 00:00:00,Y11C073654,H088,CASAN,Florianópolis,Casa Vida e Saúde,,,,1.0,1,40,41,1.0,10,Mínimo,,52.97,52.97,-10.56,1.81,3.84,101.03,101.03,0
H089 2016 Janeiro,68,2016,Janeiro,2347660,2016-01-18 00:00:00,B10C016433,H089,CASAN,Florianópolis,"Estação de Maricultura Bc dos Coroas, 502",,,,1.0,1,10394,10577,183.0,183,Informado,,1573.73,1573.73,-319.85,76.07,161.12,3064.8,3064.8,0
H090 2016 Janeiro,69,2016,Janeiro,2347679,2016-01-18 00:00:00,Y11C068981,H090,CASAN,Florianópolis,"Estação de Maricultura Bc dos Coroas, SN",,,,1.0,1,2386,2395,9.0,10,Mínimo,,52.97,52.97,-10.56,1.81,3.84,101.03,101.03,0
H100 2016 Janeiro,70,2016,Janeiro,2134608,2016-01-19 00:00:00,C13S011801,H100,ÁGUAS DE JOINVILLE,Joinville,R. Pres. Prud. De Moraes - Joinville,,,,1.0,1,1755,1740,-15.0,10,Lido,,42.27,33.82,-8.35,,12.37,80.11,80.11000000000001,0
H101 2016 Janeiro,71,2016,Janeiro,2141582,2016-01-19 00:00:00,Y10S819731,H101,ÁGUAS DE JOINVILLE,Joinville,"R. João Vogelsanger, 108 - Joinville",,,,1.0,1,119,112,-7.0,10,Mínimo,,42.27,,-3.99,,,38.28,38.28,0
H102 2016 Janeiro,72,2016,Janeiro,2278022,2016-01-19 00:00:00,A150001495,H102,ÁGUAS DE JOINVILLE,Joinville,R. João Colin (1) - Joinville,,,,1.0,1,274,285,11.0,11,Lido,,48.91,39.13,-11.78,,36.53,112.79,112.78999999999999,0
H103 2016 Janeiro,73,2016,Janeiro,7039336,2016-01-19 00:00:00,A12G079417,H103,ÁGUAS DE JOINVILLE,Joinville,"R. João Vogelsanger, 181 - Joinville",,,,2.0,2,373,373,0.0,20,Mínimo,,84.54,,-8.15,,1.66,78.05,78.05,0
H104 2016 Janeiro,74,2016,Janeiro,7876009,2016-01-19 00:00:00,Y11G512276,H104,ÁGUAS DE JOINVILLE,Joinville,"R. João Vogelsanger, 200 - Joinville",,,,1.0,1,750,715,-35.0,10,Informado,,42.27,,-4.44,,4.67,42.5,42.50000000000001,0
H105 2016 Janeiro,75,2016,Janeiro,8686432,2016-01-19 00:00:00,Y10S819735,H105,ÁGUAS DE JOINVILLE,Joinville,R. João Colin (2) - Joinville,,,,1.0,1,137,126,-11.0,10,Mínimo,,42.27,33.82,-7.33,,1.5,70.26,70.26,0
H106 2016 Janeiro,76,2016,Janeiro,14948508,2016-01-18 00:00:00,B11C061116,H106,CASAN,Araquari,Barra do Itapocu - Baln. Barra do Sul,,,,1.0,1,830,850,20.0,20,Lido,,140.88,,-13.71,1.36,2.88,131.41,131.41,0
H200 2016 Janeiro,77,2016,Janeiro,15431797,2016-01-18 00:00:00,Y13F424343,H200,CASAN,Curitibanos,Curitibanos CEDUP,,,,1.0,1,1428,1469,41.0,41,Lido,,325.48,,-33.83,10.38,21.98,324.01,324.01000000000005,0
H300 2016 Janeiro,78,2016,Janeiro,196916,2016-01-21 00:00:00,X08S002632,H300,SAMAE Araranguá,Araranguá,Mato Alto,,,,1.0,1,6159,6226,67.0,67,Lido,,614.87,,,,,614.87,614.87,0
H400 2016 Janeiro,79,2016,Janeiro,89548,2016-01-05 00:00:00,Y10N450699,H400,SAMAE Blumenau,Blumenau,"R. Pomerode, 710 - Blumenau",,,,1.0,1,1242,1262,20.0,20,Informado,,79.26,,,50.21,,129.47,129.47,0
H401 2016 Janeiro,80,2016,Janeiro,38988,2016-01-14 00:00:00,A12S141289,H401,SAMAE Blumenau,Blumenau,"R. João Pessoa, 2750 - Blumenau",,,,,0,,954,,18,Informado,,91.25,95.58,,67.18,6.04,260.05,260.05,0
