Código,Categoria,ANO,MÊS,MATRÍCULA,CAMPUS,NÚMERO DO HIDRÔMETRO,NOMENCLATURA UFSC (H000),CONCESSIONÁRIA,CIDADE,CONTAS - LOCALIZAÇÃO,Público,Residencial,Comercial,Industrial,Total de Economias,Leitura Anterior,Leitura Atual,VOLUME MENSAL CONSUMIDO (m³),VOLUME MENSAL FATURADO (m³),OCORRÊNCIAS,ANORMALIDADE,ÁGUA (R$),ESGOTO (R$),DESCONTOS (R$),OUTROS (R$),MULTAS/ JUROS (R$),VALOR (R$),Verificação,Diferença
H011 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,8149615.0,Trindade,C11C005249,H011,CASAN,Florianópolis - Trindade,"CCB - Blocos A, B, C e D - 1 - Córrego Grande",1.0,0.0,0.0,0.0,1.0,35367.0,35520.0,153.0,153.0,Informado,Confirmação leitura,1649.44,0.0,-155.86,0.0,0.0,1493.58,1493.58,0.0
H014 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2296969.0,Trindade,J15AA00002,H014,CASAN,Florianópolis  HU,Hospital Universitário - EBSERH,51.0,0.0,6.0,1.0,58.0,610139.0,619833.0,9694.0,9694.0,0,0,106749.7,106749.7,-20175.689999999995,0.0,1222006.46,1415330.17,1415330.17,0.0
H015 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2296918.0,Trindade,B10C013878,H015,CASAN,Florianópolis - Trindade,Moradia Estudantil - Casa,1.0,0.0,0.0,0.0,1.0,61.0,72.0,11.0,11.0,Informado,Confirmação leitura,77.77,77.77,-14.71,0.0,0.0,140.83,140.82999999999998,0.0
H017 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2296950.0,Trindade,C11C001906,H017,CASAN,Florianópolis - Trindade,CCS - Centro de Ciências da Saúde,1.0,0.0,0.0,0.0,1.0,4836.0,5516.0,680.0,680.0,Informado,Confirmação leitura,7482.33,7482.33,-1414.16,0.0,0.0,13550.5,13550.5,0.0
H018 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2296640.0,Trindade,A13C043935,H018,CASAN,Florianópolis - Trindade,SSI - Secretaria de Assuntos Institucionais,1.0,0.0,0.0,0.0,1.0,2762.0,2807.0,45.0,45.0,Lido,0,454.08,454.08,-85.81,0.0,0.0,822.35,822.3499999999999,0.0
H019 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,9097821.0,Trindade,C11C005250,H019,CASAN,Florianópolis - Trindade,CSE 2 - CSE 9 e 10 (Bl F e G),1.0,0.0,1.0,0.0,2.0,5222.0,5325.0,103.0,103.0,Lido,0,1056.34,1056.34,-199.65,0.0,0.0,1913.03,1913.0299999999997,0.0
H020 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2296829.0,Trindade,C11C009540,H020,CASAN,Florianópolis - Trindade,"CSE 1 - CSE 1 ao 4 (Bl A, B, C e D) e CCJ 1 e 2 (Bl E e F)",1.0,0.0,0.0,0.0,1.0,8914.0,9212.0,298.0,298.0,Informado,Confirmação leitura,3254.31,3254.31,-615.07,0.0,0.0,5893.55,5893.55,0.0
H021 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2296632.0,Trindade,B10C001813,H021,CASAN,Florianópolis - Trindade,Igrejinha UFSC (DAC 01 a 03 e DEX01),2.0,0.0,0.0,0.0,2.0,4306.0,4436.0,130.0,130.0,Lido,0,1350.89,1350.89,-255.32,0.0,0.0,2446.46,2446.46,0.0
H023 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2296934.0,Trindade,B10C010114,H023,CASAN,Florianópolis - Trindade,Associação Volantes 1,1.0,0.0,0.0,0.0,1.0,9831.0,10024.0,193.0,193.0,Lido,0,2092.16,2092.16,-395.42,0.0,0.0,3788.9,3788.8999999999996,0.0
H024 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2296926.0,Trindade,A96C161864,H024,CASAN,Florianópolis - Trindade,Associação Volantes 2,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,20.0,Informado,Confirmação leitura,133.4,133.4,-25.21,0.0,0.0,241.59,241.59,0.0
H025 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2296900.0,Trindade,C11C001273,H025,CASAN,Florianópolis - Trindade,CFM  Bloco A,1.0,0.0,0.0,0.0,1.0,25898.0,26455.0,557.0,557.0,Informado,Hidrômetro invertido,6120.95,6120.95,-1156.86,0.0,0.0,11085.04,11085.039999999999,0.0
H026 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,9912770.0,Trindade,A10C023447,H026,CASAN,Florianópolis - Trindade,CFM  Bloco B,1.0,0.0,0.0,0.0,1.0,361.0,405.0,44.0,44.0,Lido,0,443.02,443.02,-83.73,0.0,0.0,802.31,802.31,0.0
H027 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,16701186.0,Trindade,C11C009484,H027,CASAN,Florianópolis - Trindade,Colégio de Aplicação,1.0,0.0,0.0,0.0,1.0,49357.0,49371.0,14.0,14.0,Média,Vidro do hidrômetro suado,110.97,110.97,0.0,0.0,0.0,221.94,221.94,0.0
H028 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,6205615.0,Trindade,B10C017964,H028,CASAN,Florianópolis - Trindade,Nativas do Horto Botânico,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,10.0,Mínimo,Hidrômetro parado,66.7,66.7,-12.6,0.0,0.0,120.8,120.80000000000001,0.0
H029 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,7297220.0,Trindade,A08X051927,H029,CASAN,Florianópolis - Trindade,Moradia Estudantil - Portaria,1.0,0.0,0.0,0.0,1.0,2049.0,2053.0,4.0,10.0,Mínimo,0,66.7,66.7,-12.6,0.0,0.0,120.8,120.80000000000001,0.0
H030 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2296276.0,Trindade,E11C000101,H030,CASAN,Florianópolis - Trindade,Moradia Estudantil,0.0,30.0,0.0,0.0,30.0,14211.0,14699.0,488.0,488.0,Informado,Confirmação leitura,2912.6,2912.6,-550.48,0.0,0.0,5274.72,5274.719999999999,0.0
H032 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2296659.0,Trindade,C11C001576,H032,CASAN,Florianópolis - Trindade,Biblioteca Central,1.0,0.0,0.0,0.0,1.0,12266.0,12630.0,364.0,364.0,Lido,0,3984.81,3984.81,-753.13,0.0,0.0,7216.49,7216.49,0.0
H033 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2296667.0,Trindade,B10C014063,H033,CASAN,Florianópolis - Trindade,"CTC - Salas de Aula, Eng. Elétrica, Produção - CTC 1 ao 5, ",1.0,0.0,1.0,0.0,2.0,686.0,851.0,165.0,165.0,Lido,0,1831.06,1831.06,-346.06,0.0,0.0,3316.06,3316.06,0.0
H034 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,8416621.0,Trindade,B10C014069,H034,CASAN,Florianópolis - Trindade,CTC - Eng. Sanitária e Amb. - CTC 12 e 37,1.0,0.0,0.0,0.0,1.0,10278.0,10538.0,260.0,260.0,Lido,0,2833.73,2833.73,-535.57,0.0,0.0,5131.89,5131.89,0.0
H035 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2296845.0,Trindade,B10C022164,H035,CASAN,Florianópolis - Trindade,CTC - Eng. Elétrica INEP - CTC 06,1.0,0.0,0.0,0.0,1.0,161.0,178.0,17.0,17.0,Lido,0,144.18,144.18,-27.24,0.0,0.0,261.12,261.12,0.0
H037 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,6435548.0,Trindade,Y13F347112,H037,CASAN,Florianópolis - Trindade,"CTC - Eng. Mecânica - CTC 9, 10 e 37",1.0,0.0,0.0,1.0,2.0,8068.0,8208.0,140.0,140.0,Lido,0,1461.58,1461.58,-276.23,0.0,0.0,2646.93,2646.93,0.0
H038 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2296683.0,Trindade,B10C014806,H038,CASAN,Florianópolis - Trindade,CTC - Eng. Mecânica CTC 11 Bloco B (Pavilhão) e CTC 31 INE,1.0,0.0,0.0,0.0,1.0,521.0,1056.0,535.0,535.0,Informado,ALTO CONSUMO: O VOLUME FORNECIDO ULTRAPASSOU 30% A SUA MÉDIA.,5877.45,5877.45,-1110.85,0.0,0.0,10644.05,10644.05,0.0
H040 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2296691.0,Trindade,C11C000642,H040,CASAN,Florianópolis - Trindade,Reitoria I,1.0,0.0,0.0,0.0,1.0,35507.0,35846.0,339.0,339.0,Informado,Confirmação leitura,3708.1,3708.1,-700.84,0.0,0.0,6715.36,6715.36,0.0
H041 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2296810.0,Trindade,C11C010608,H041,CASAN,Florianópolis - Trindade,CCE 1  Básico,1.0,0.0,1.0,0.0,2.0,12881.0,12968.0,87.0,87.0,Lido,0,874.96,874.96,-165.37,0.0,0.0,1584.55,1584.5500000000002,0.0
H042 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2296802.0,Trindade,C11C001909,H042,CASAN,Florianópolis - Trindade,CCE 2  R. Eng. Andrey C. Ferreira,1.0,0.0,0.0,0.0,1.0,0.0,9287.0,9287.0,10.0,Informado,Confirmação leitura,66.7,66.7,-12.6,0.0,0.0,120.8,120.80000000000001,0.0
H043 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,6816860.0,Trindade,A94S171408,H043,CASAN,Florianópolis - Trindade,Casa de Veg.  Depto. de Microbiologia,1.0,0.0,0.0,0.0,1.0,885.0,888.0,3.0,10.0,Mínimo,0,66.7,66.7,-12.6,0.0,0.0,120.8,120.80000000000001,0.0
H044 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2296896.0,Trindade,C11C001908,H044,CASAN,Florianópolis - Trindade,CFM Oceanografia e entorno,1.0,0.0,0.0,0.0,1.0,3043.0,3226.0,183.0,183.0,Lido,0,1981.48,1981.48,-374.5,0.0,0.0,3588.46,3588.46,0.0
H045 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2296772.0,Trindade,,H045,CASAN,Florianópolis - Trindade,"Museologia e MArquE (MU01, MU10 e CFH09)",1.0,0.0,0.0,0.0,1.0,1196.0,1206.0,10.0,10.0,Lido,0,66.7,66.7,-12.6,0.0,0.0,120.8,120.80000000000001,0.0
H046 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2296780.0,Trindade,B10C017966,H046,CASAN,Florianópolis - Trindade,CCB Botânica,1.0,0.0,0.0,0.0,1.0,5087.0,5213.0,126.0,126.0,Lido,0,1350.6,1350.6,-255.27,0.0,0.0,2445.93,2445.93,0.0
H047 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2296837.0,Trindade,C11C009598,H047,CASAN,Florianópolis - Trindade,NDI e MArquE,1.0,0.0,0.0,0.0,1.0,7640.0,7853.0,213.0,213.0,Lido,0,2313.52,2313.52,-437.26,0.0,0.0,4189.78,4189.78,0.0
H048 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2296764.0,Trindade,C11C001910,H048,CASAN,Florianópolis - Trindade,Centro de Filosofia e Humanas 1,1.0,0.0,0.0,0.0,1.0,26299.0,26693.0,394.0,394.0,Informado,Confirmação leitura,4316.85,4316.85,-815.89,0.0,0.0,7817.81,7817.81,0.0
H049 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,9197478.0,Trindade,B10C019220,H049,CASAN,Florianópolis - Trindade,Centro de Educação 1,1.0,0.0,0.0,0.0,1.0,1380.0,1759.0,379.0,379.0,Lido,0,4150.83,4150.83,-784.51,0.0,0.0,7517.15,7517.15,0.0
H050 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2296748.0,Trindade,A13C020929,H050,CASAN,Florianópolis - Trindade,Centro de Educação 2,1.0,0.0,0.0,0.0,1.0,341.0,495.0,154.0,154.0,Informado,ALTO CONSUMO: O VOLUME FORNECIDO ULTRAPASSOU 30% A SUA MÉDIA.,1660.51,1660.51,-313.84,0.0,0.0,3007.18,3007.18,0.0
H051 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2296756.0,Trindade,A13C043944,H051,CASAN,Florianópolis - Trindade,Centro de Convivência,1.0,0.0,4.0,0.0,5.0,1009.0,1040.0,31.0,50.0,Mínimo,0,333.5,333.5,-63.04,0.0,0.0,603.96,603.96,0.0
H053 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2296713.0,Trindade,C11C010440,H053,CASAN,Florianópolis - Trindade,"Centro de Eventos, NUMA, Editora UFSC, EGC",1.0,0.0,0.0,0.0,1.0,9987.0,10430.0,443.0,443.0,Informado,Confirmação leitura,4859.19,4859.19,-918.38,0.0,0.0,8800.0,8800.0,0.0
H054 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,6923020.0,Trindade,B17C002561,H054,CASAN,Florianópolis - Trindade,Arquitetura e Urbanismo,1.0,0.0,0.0,0.0,1.0,9421.0,9518.0,97.0,97.0,Informado,Confirmação leitura,1029.62,1029.62,-194.6,0.0,0.0,1864.64,1864.6399999999999,0.0
H055 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2296705.0,Trindade,G15AA00021,H055,CASAN,Florianópolis - Trindade,Centro de Desportos,1.0,0.0,1.0,0.0,2.0,177239.0,357.0,-176882.0,357.0,Informado,Confirmação leitura,4230.19,0.0,-399.76,0.0,0.0,3830.43,3830.4299999999994,0.0
H056 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2296721.0,Trindade,E11C000742,H056,CASAN,Florianópolis - Trindade,Restaurante Universitário 2,1.0,0.0,1.0,0.0,2.0,64451.0,65648.0,1197.0,1197.0,Informado,Confirmação leitura,14726.41,14726.41,-2783.29,0.0,0.0,26669.53,26669.53,0.0
H057 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2297108.0,Trindade,A95L322012,H057,CASAN,Florianópolis - Trindade,"PU - Prefeitura Universitária - Oficina, Serralheria e Mecânica (PU11)",1.0,0.0,0.0,0.0,1.0,29.0,109.0,80.0,80.0,Informado,ALTO CONSUMO: O VOLUME FORNECIDO ULTRAPASSOU 30% A SUA MÉDIA.,841.47,0.0,-79.51,0.0,0.0,761.96,761.96,0.0
H058 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,9611070.0,Trindade,C11C005856,H058,CASAN,Florianópolis - Trindade,"CCB - Blocos A, B, C e D - 2 - Córrego Grande",1.0,0.0,0.0,0.0,1.0,621.0,931.0,310.0,310.0,Informado,ALTO CONSUMO: O VOLUME FORNECIDO ULTRAPASSOU 30% A SUA MÉDIA.,3387.13,3387.13,-640.16,0.0,0.0,6134.1,6134.1,0.0
H059 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2296675.0,Trindade,A13C020930,H059,CASAN,Florianópolis - Trindade,CTC - Setic e Almoxarifado (CTC 8 e 14),1.0,0.0,0.0,0.0,1.0,1659.0,1685.0,26.0,26.0,Lido,0,243.79,243.79,-46.08,0.0,0.0,441.5,441.5,0.0
H060 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,5329663.0,Trindade,A13C021299,H060,CASAN,Florianópolis - Trindade,Reitoria II,1.0,0.0,0.0,0.0,1.0,1619.0,1809.0,190.0,190.0,Informado,Confirmação leitura,2058.96,2058.96,-389.15,0.0,0.0,3728.77,3728.77,0.0
H061 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2296870.0,Trindade,B10C013871,H061,CASAN,Florianópolis - Trindade,CCB Anatômico,1.0,0.0,1.0,0.0,2.0,682.0,739.0,57.0,57.0,Lido,0,542.92,542.92,-102.62,0.0,0.0,983.22,983.2199999999999,0.0
H062 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,15023672.0,Trindade,C11C010415,H062,CASAN,Florianópolis - Trindade,CFM  Bloco EFI,1.0,0.0,0.0,0.0,1.0,8464.0,9110.0,646.0,646.0,Lido,0,7106.01,7106.01,-1343.04,0.0,0.0,12868.98,12868.98,0.0
H066 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,17091764.0,Trindade,F11C000153,H066,CASAN,Florianópolis - Trindade,"CCB - Blocos E, F e G e Biotério (BIC 12)",1.0,0.0,0.0,0.0,1.0,350.0,308.0,-42.0,10.0,Mínimo,Confirmação leitura,66.7,0.0,-6.3,0.0,0.0,60.4,60.400000000000006,0.0
H072 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2297167.0,CCA - Itacorubi,B10C017343,H072,CASAN,Florianópolis - Outros,CCA 1,1.0,0.0,0.0,0.0,1.0,13791.0,13929.0,138.0,138.0,Lido,0,1483.42,0.0,-140.17,0.0,0.0,1343.25,1343.25,0.0
H073 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2297175.0,CCA - Itacorubi,A05S578217,H073,CASAN,Florianópolis - Outros,CCA  Estação Experimental de Aquicultura,1.0,0.0,0.0,0.0,1.0,9989.0,137.0,-9852.0,10.0,Mínimo,Confirmação leitura,66.7,0.0,-6.3,0.0,0.0,60.4,60.400000000000006,0.0
H074 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2297183.0,CCA - Itacorubi,C11C010252,H074,CASAN,Florianópolis - Outros,CCA 2,1.0,0.0,0.0,0.0,1.0,9962.0,11065.0,1103.0,1103.0,Informado,ALTO CONSUMO: O VOLUME FORNECIDO ULTRAPASSOU 30% A SUA MÉDIA.,12164.13,0.0,-1149.51,0.0,0.0,11014.62,11014.619999999999,0.0
H076 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2297361.0,CCA - Cidade das Abelhas ,A10C001421,H076,CASAN,Florianópolis - Outros,"Cidade das Abelhas  Rod. Virgílio Várzea, 2600",1.0,0.0,0.0,0.0,1.0,13.0,24.0,11.0,11.0,Lido,0,77.77,0.0,-7.35,0.0,0.0,70.42,70.42,0.0
H081 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2295652.0,SEAD - TV UFSC,B17C002628,H081,CASAN,Florianópolis - Outros,Rua Presidente Coutinho,1.0,0.0,0.0,0.0,1.0,2535.0,3933.0,1398.0,1398.0,Informado,ALTO CONSUMO: O VOLUME FORNECIDO ULTRAPASSOU 30% A SUA MÉDIA.,15429.22,15429.22,-2916.12,0.0,0.0,27942.32,27942.32,0.0
H082 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,5716594.0,CCA - Tapera,C11C010040,H082,CASAN,Florianópolis - Outros,CCA Tapera - Fazenda Experimental da Ressacada,1.0,0.0,0.0,0.0,1.0,7142.0,7596.0,454.0,454.0,Lido,0,4980.94,0.0,-470.71,0.0,0.0,4510.23,4510.23,0.0
H083 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,6997937.0,Casa da Arte,A16S368708,H083,CASAN,Florianópolis - Outros,Casa da Arte,1.0,0.0,0.0,0.0,1.0,178.0,185.0,7.0,10.0,Mínimo,0,66.7,66.7,-12.6,0.0,0.0,120.8,120.80000000000001,0.0
H084 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,9197419.0,CCA - Barra da Lagoa - EMEB-AQI,B11C024230,H084,CASAN,Florianópolis - Outros,LMM Área de produção,1.0,0.0,0.0,0.0,1.0,14548.0,14786.0,238.0,238.0,Lido,ALTO CONSUMO: O VOLUME FORNECIDO ULTRAPASSOU 30% A SUA MÉDIA.,2590.23,2590.23,-489.54,0.0,0.0,4690.92,4690.92,0.0
H085 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,12791172.0,SECARTE - Praia do Forte,Y11C048501,H085,CASAN,Florianópolis - Outros,Fortaleza de São José da Ponta Grossa,1.0,0.0,0.0,0.0,1.0,631.0,636.0,5.0,10.0,Mínimo,0,66.7,0.0,-6.3,0.0,0.0,60.4,60.400000000000006,0.0
H086 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,12799408.0,UFSC  Jurerê,Y11C056745,H086,CASAN,Florianópolis - Outros,UFSC  Jurerê,1.0,0.0,0.0,0.0,1.0,221.0,222.0,1.0,10.0,Mínimo,0,66.7,0.0,-6.3,0.0,0.0,60.4,60.400000000000006,0.0
H087 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,13018540.0,UFSC  Sambaqui,A06S080329,H087,CASAN,Florianópolis - Outros,UFSC  Sambaqui,1.0,0.0,0.0,0.0,1.0,80.0,131.0,51.0,51.0,Lido,0,520.49,0.0,-49.17,0.0,0.0,471.32,471.32,0.0
H088 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2294605.0,Casa Vida e Saúde,Y11C073654,H088,CASAN,Florianópolis - Outros,Casa Vida e Saúde,1.0,0.0,0.0,0.0,1.0,78.0,79.0,1.0,10.0,Mínimo,0,66.7,66.7,-12.6,0.0,0.0,120.8,120.80000000000001,0.0
H089 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2347660.0,CCA - Barra da Lagoa - EMEB-AQI,B17C007633,H089,CASAN,Florianópolis - Outros,"LAPOM, LAPMAR, LCM, LCA",1.0,0.0,0.0,0.0,1.0,6744.0,6922.0,178.0,178.0,Informado,Confirmação leitura,1926.14,1926.14,-364.04,0.0,0.0,3488.24,3488.2400000000002,0.0
H090 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2347679.0,CCA - Barra da Lagoa - EMEB-AQI,A15C030480,H090,CASAN,Florianópolis - Outros,"LMM - Guarita, convivência, oficina e escritórios",1.0,0.0,0.0,0.0,1.0,45.0,52.0,7.0,10.0,Mínimo,0,66.7,66.7,-12.6,0.0,0.0,120.8,120.80000000000001,0.0
H106 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,14948508.0,CCA - Araquari - Barra do Sul,B11C061116,H106,CASAN,Araquari,Fazenda UFSC/Yakult - Lab. de Camarões Marinhos,1.0,0.0,0.0,0.0,1.0,1990.0,2018.0,28.0,28.0,Lido,0,265.93,0.0,-25.13,0.0,0.0,240.8,240.8,0.0
H108 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,0.0,Joinville - Perini B. P.,A15B040774,H108,Condomínio Perini,Joinville,Bloco U - RU LAV,1.0,0.0,0.0,0.0,1.0,1310.27,1378.0,67.73000000000002,67.73,0,0,554.71,443.77,0.0,0.0,0.0,998.48,998.48,0.0
H109 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,0.0,Joinville - Perini B. P.,F17B900021,H109,Condomínio Perini,Joinville,Bloco O - O1,1.0,0.0,0.0,0.0,1.0,1107.0,1172.0,65.0,65.0,0,0,532.35,425.88,0.0,0.0,0.0,958.23,958.23,0.0
H110 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,0.0,Joinville - Perini B. P.,F17B900028,H110,Condomínio Perini,Joinville,Bloco U - RU,1.0,0.0,0.0,0.0,1.0,2258.94,2436.0,177.05999999999995,177.06,0,0,1450.12,1160.1,0.0,0.0,0.0,2610.22,2610.22,0.0
H111 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,0.0,Joinville - Perini B. P.,C16UB020205,H111,Condomínio Perini,Joinville,Bloco U - U,1.0,0.0,0.0,0.0,1.0,1386.0,1681.0,295.0,295.0,0,0,2416.05,1932.84,0.0,0.0,0.0,4348.89,4348.89,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
