Código,Categoria,ANO,MÊS,MATRÍCULA,DATA DE LEITURA,NÚMERO DO HIDRÔMETRO,NOMENCLATURA UFSC (H000),CONCESSIONÁRIA,CIDADE,CONTAS - LOCALIZAÇÃO,ECON.RESIDENCIAL (unidade),ECON. COMERCIAL (unidade),ECON. INDUSTRIAL (unidade),ECON. PÚBLICA (unidade),Total de Economias,Leitura Anterior ,Leitura Atual,VOLUME MENSAL CONSUMIDO (m³),VOLUME MENSAL FATURADO (m³),OCORRÊNCIAS,ANORMALIDADE,ÁGUA (R$),ESGOTO (R$),DESCONTOS (R$),OUTROS (R$),MULTAS/JUROS (R$),VALOR (R$),Verificação,Diferença
H015 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,2296918.0,2018-02-19,B10C013878,H015,CASAN,Florianópolis,Moradia Estudantil Pequena,,,,1.0,1,1364.0,1404.0,40.0,40.0,Lido,,372.26,372.26,-70.37,,,674.15,674.15,0
H017 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,2296950.0,2018-02-20,C11C001906,H017,CASAN,Florianópolis,Centro de Ciências da Saúde,,,,1.0,1,23017.0,24013.0,996.0,996.0,Lido,,10250.61,10250.61,-1937.37,,,18563.85,18563.850000000002,0
H018 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,2296640.0,2018-02-19,A13C043935,H018,CASAN,Florianópolis,DAE,,,,1.0,1,1508.0,1610.0,102.0,102.0,Lido,,1012.91,1012.91,-191.44,,,1834.38,1834.3799999999999,0
H019 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,9097821.0,2018-02-19,C11C005250,H019,CASAN,Florianópolis,Centro Acadêmico Socioeconômico,,1.0,,1.0,2,2647.0,2732.0,85.0,85.0,Lido,,796.18,796.18,-150.47,,,1441.89,1441.8899999999999,0
H020 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,2296829.0,2018-02-19,C11C009540,H020,CASAN,Florianópolis,Centro Socioeconômico,,,,1.0,1,21212.0,21423.0,211.0,211.0,Informado,,2139.2,2139.2,-404.3,,,3874.1,3874.0999999999995,0
H021 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,2296632.0,2018-02-19,B10C001813,H021,CASAN,Florianópolis,Igrejinha UFSC,,,,2.0,2,2805.0,2865.0,60.0,60.0,Médio,,537.86,537.86,-101.65,,,974.07,974.07,0
H023 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,2296934.0,2018-02-19,B10C010114,H023,CASAN,Florianópolis,Associação Volantes 1,,,,1.0,1,4376.0,4574.0,198.0,198.0,Lido,,2004.87,2004.87,-378.92,,,3630.82,3630.8199999999997,0
H024 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,2296926.0,2018-02-19,A96C161864,H024,CASAN,Florianópolis,Associação Volantes 2,,1.0,,1.0,2,265.0,264.0,-1.0,20.0,Mínimo,,124.54,124.54,-23.54,,,225.54,225.54000000000002,0
H025 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,2296900.0,2018-02-19,C11C001273,H025,CASAN,Florianópolis,CFM Bloco A,,,,1.0,1,10341.0,11085.0,744.0,744.0,Informado,,7646.69,7646.69,-1445.22,,,13848.16,13848.16,0
H026 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,9912770.0,2018-02-19,A10C023447,H026,CASAN,Florianópolis,CFM Bloco B,,,,1.0,1,2342.0,2358.0,16.0,16.0,Lido,,124.27,124.27,-23.5,,,225.04,225.04,0
H027 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,2296888.0,2018-02-19,C11C009484,H027,CASAN,Florianópolis,Colégio Aplicação,,,,1.0,1,25030.0,26674.0,1644.0,1644.0,Informado,,16946.39,16946.39,-3202.86,,,30689.92,30689.92,0
H028 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,6205615.0,2018-02-19,B10C017964,H028,CASAN,Florianópolis,Nativas do Horto Botânico,,,,1.0,1,81.0,91.0,10.0,10.0,Médio,,62.27,62.27,-11.78,,,112.76,112.76,0
H029 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,7297220.0,2018-02-10,A08X051927,H029,CASAN,Florianópolis,Moradia Estudantil - Portaria,,,,1.0,1,1973.0,1975.0,2.0,10.0,Mínimo,,62.27,62.27,-11.78,,,112.76,112.76,0
H030 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,2296276.0,2018-02-10,E11C000101,H030,CASAN,Florianópolis,Moradia Estudantil,30.0,,,,30,27108.0,27809.0,701.0,701.0,Lido,,4365.99,4365.99,-825.18,,,7906.8,7906.799999999999,0
H032 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,2296659.0,2018-02-19,C11C001576,H032,CASAN,Florianópolis,Biblioteca Central,,,,1.0,1,5286.0,5399.0,113.0,113.0,Informado,,1126.57,1126.57,-212.92,,,2040.22,2040.2199999999998,0
H033 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,2296667.0,2018-02-19,B10C014063,H033,CASAN,Florianópolis,CTC 1 - R. Delfino Conti,,1.0,,1.0,2,5317.0,5399.0,82.0,82.0,Informado,,765.18,765.18,-144.62,,,1385.74,1385.7399999999998,0
H034 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,8416621.0,2018-02-19,B10C014069,H034,CASAN,Florianópolis,CTC Bloco L - R. Delfino Conti,,,,1.0,1,5444.0,5552.0,108.0,108.0,Lido,,1074.9,1074.9,-203.15,,,1946.65,1946.65,0
H035 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,2296845.0,2018-02-19,B10C022164,H035,CASAN,Florianópolis,CTC 2 - INEP,,,,1.0,1,1093.0,1156.0,63.0,63.0,Informado,,609.92,609.92,-115.28,,,1104.56,1104.56,0
H037 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,6435548.0,2018-02-19,Y13F347112,H037,CASAN,Florianópolis,CTC Bloco A - POLO,,,1.0,1.0,2,5691.0,5785.0,94.0,94.0,Lido,,889.18,889.18,-168.05,,,1610.31,1610.31,0
H038 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,2296683.0,2018-02-19,B10C014806,H038,CASAN,Florianópolis,Pavilhão Eng. Mecânica,,,,1.0,1,7267.0,7463.0,196.0,196.0,Lido,,1984.21,1984.21,-375.0,,,3593.42,3593.42,0
H040 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,2296691.0,2018-02-19,C11C000642,H040,CASAN,Florianópolis,Reitoria I,,,,1.0,1,21092.0,21494.0,402.0,402.0,Lido,,4112.81,4112.81,-777.33,,,7448.29,7448.290000000001,0
H041 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,2296810.0,2018-02-19,C11C010608,H041,CASAN,Florianópolis,CCE 1 - Básico,,1.0,,1.0,2,10201.0,10261.0,60.0,60.0,Informado,,537.86,537.86,-101.65,,,974.07,974.07,0
H042 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,2296802.0,2018-02-19,C11C001909,H042,CASAN,Florianópolis,CCE 2 - R. Eng. Andrey C. Ferreira,,,,1.0,1,7235.0,7376.0,141.0,141.0,Médio,,1415.89,1415.89,-267.61,,,2564.17,2564.17,0
H043 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,6816860.0,2018-02-19,A94S171408,H043,CASAN,Florianópolis,Casa de Veg. - Depto. Microbiologia,,,,1.0,1,796.0,799.0,3.0,10.0,Mínimo,,62.27,62.27,-11.78,,,112.76,112.76,0
H044 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,2296896.0,2018-02-19,C11C001908,H044,CASAN,Florianópolis,CCB Carvoeira 1 - Lab. de ensino e pesquisa,,,,1.0,1,8208.0,8342.0,134.0,134.0,Informado,,1343.56,1343.56,-253.93,,,2433.19,2433.19,0
H045 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,2296772.0,2018-02-19,B11C039161,H045,CASAN,Florianópolis,Museu de Antropologia,,,,1.0,1,956.0,959.0,3.0,10.0,Mínimo,,62.27,62.27,-11.78,,,112.76,112.76,0
H046 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,2296780.0,2018-02-19,B10C017966,H046,CASAN,Florianópolis,Horto Botânico,,,,1.0,1,2299.0,2371.0,72.0,72.0,Lido,,702.92,702.92,-132.86,,,1272.98,1272.98,0
H047 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,2296837.0,2018-02-19,C11C009598,H047,CASAN,Florianópolis,Creche UFSC,,,,1.0,1,29669.0,29867.0,198.0,198.0,Informado,,2004.87,2004.87,-378.92,,,3630.82,3630.8199999999997,0
H048 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,2296764.0,2018-02-19,C11C001910,H048,CASAN,Florianópolis,Centro de Filosofia e Humanas 1,,,,1.0,1,13416.0,13880.0,464.0,464.0,Lido,,4753.45,4753.45,-898.4,,,8608.5,8608.5,0
H049 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,9197478.0,2018-02-19,B10C019220,H049,CASAN,Florianópolis,Centro de Educação 1,,,,1.0,1,5807.0,6256.0,449.0,449.0,Lido,,4598.46,4598.46,-869.11,,,8327.81,8327.81,0
H050 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,2296748.0,2018-02-19,A13C020929,H050,CASAN,Florianópolis,Centro de Educação 2,,,,1.0,1,4553.0,4553.0,0.0,10.0,Mínimo,,62.27,62.27,-11.78,,,112.76,112.76,0
H051 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,2296756.0,2018-02-19,A13C043944,H051,CASAN,Florianópolis,Centro de Convivência,,5.0,,1.0,6,534.0,539.0,5.0,60.0,Mínimo,,373.62,373.62,-70.62,,,676.62,676.62,0
H053 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,2296713.0,2018-02-19,C11C010440,H053,CASAN,Florianópolis,Centro de Eventos,,,,1.0,1,50131.0,50637.0,506.0,506.0,Informado,,5187.44,5187.44,-980.43,,,9394.45,9394.449999999999,0
H054 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,6923020.0,2018-02-19,B10C002843,H054,CASAN,Florianópolis,Arquitetura e Urbanismo,,,,1.0,1,19430.0,56.0,-19374.0,351.0,Informado,,3585.82,3585.82,-677.73,,,6493.91,6493.91,0
H055 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,2296705.0,2018-02-19,G15AA00021,H055,CASAN,Florianópolis,Centro de Desportos,,1.0,,1.0,2,105318.0,113451.0,8133.0,8133.0,Informado,,94660.94,,-8945.47,,,85715.47,85715.47,0
H056 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,2296721.0,2018-02-19,E11C000742,H056,CASAN,Florianópolis,Restaurante Universitário 2,,1.0,,1.0,2,28935.0,30114.0,1179.0,1179.0,Lido,,13538.36,13538.36,-2558.75,,,24517.97,24517.97,0
H057 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,2297108.0,2018-02-20,A95L322012,H057,CASAN,Florianópolis,Setor da Hidráulica,,,,1.0,1,3128.0,3183.0,55.0,55.0,Lido,,527.26,,-49.83,,,477.43,477.43,0
H058 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,9611070.0,2018-02-20,C11C005856,H058,CASAN,Florianópolis,CCB MIP 2,,,,1.0,1,28375.0,28511.0,136.0,136.0,Informado,,1364.23,1364.23,-257.83,,,2470.63,2470.63,0
H059 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,2296675.0,2018-02-19,A13C020930,H059,CASAN,Florianópolis,CTC 3,,,,1.0,1,1078.0,1099.0,21.0,21.0,Lido,,175.93,175.93,-33.26,,,318.6,318.6,0
H060 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,5329663.0,2018-02-10,A13C021299,H060,CASAN,Florianópolis,Reitoria II,,,,1.0,1,2643.0,2643.0,0.0,10.0,Informado,,62.27,62.27,-11.78,,,112.76,112.76,0
H061 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,2296870.0,2018-02-19,B10C013871,H061,CASAN,Florianópolis,CCB Anatômico,,1.0,,1.0,2,9090.0,9221.0,131.0,131.0,Lido,,1312.81,1312.81,-248.13,,,2377.49,2377.49,0
H062 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,15023672.0,2018-02-19,C11C010415,H062,CASAN,Florianópolis,CFM - Bloco EFI - R. Eng. Agr. Andrey C. Ferreira,,,,1.0,1,15290.0,15773.0,483.0,483.0,Médio,,4949.78,4949.78,-935.52,,,8964.04,8964.039999999999,0
H072 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,2297167.0,2018-02-19,B10C017343,H072,CASAN,Florianópolis,CCA 1,,,,1.0,1,9597.0,9759.0,162.0,162.0,Lido,,1632.89,,-154.31,,,1478.58,1478.5800000000002,0
H073 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,2297175.0,2018-02-23,A05S578217,H073,CASAN,Florianópolis,Estação Experimental de Aquicultura,,,,1.0,1,9016.0,9042.0,26.0,26.0,Lido,,227.6,,-21.51,,,206.09,206.09,0
H074 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,2297183.0,2018-02-19,C11C010252,H074,CASAN,Florianópolis,CCA 2,,,,1.0,1,25241.0,26064.0,823.0,823.0,Informado,,8463.0,,-799.75,,,7663.25,7663.25,0
H076 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,2297361.0,2018-02-10,A10C001421,H076,CASAN,Florianópolis,"Cidade das Abelhas - Rod. Virgílio Várzea, 2600",,,,1.0,1,1538.0,1549.0,11.0,11.0,Médio,,72.6,,-6.86,,,65.74,65.74,0
H081 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,2295652.0,2018-02-20,A13C040670,H081,CASAN,Florianópolis,UFSC do MEC,,,,1.0,1,2980.0,2980.0,0.0,10.0,Informado,,62.27,62.27,-11.78,,,112.76,112.76,0
H082 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,5716594.0,2018-02-19,C11C010040,H082,CASAN,Florianópolis,CCA - Tapera,,,,1.0,1,12987.0,13686.0,699.0,699.0,Informado,,7181.71,,-678.67,,,6503.04,6503.04,0
H083 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,6997937.0,2018-02-19,A16S368708,H083,CASAN,Florianópolis,Casa da Arte,,1.0,,,1,53.0,55.0,2.0,10.0,Mínimo,,62.27,62.27,-11.78,,,112.76,112.76,0
H084 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,9197419.0,2018-02-19,B11C024230,H084,CASAN,Florianópolis,"Centro de Pesquisa - Bc dos Coroas, SN",,,,1.0,1,10735.0,10942.0,207.0,207.0,Lido,,2097.87,2097.87,-396.5,,,3799.24,3799.24,0
H085 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,12791172.0,2018-02-19,Y11C048501,H085,CASAN,Florianópolis,Fortaleza de São José da Ponta Grossa,,,,1.0,1,451.0,476.0,25.0,25.0,Lido,,217.27,,-20.53,,,196.74,196.74,0
H086 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,12799408.0,2018-02-19,Y11C056745,H086,CASAN,Florianópolis,UFSC - Jurerê,,,,1.0,1,161.0,167.0,6.0,10.0,Mínimo,,62.27,,-5.88,,,56.39,56.39,0
H087 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,13018540.0,2018-02-14,A06S080329,H087,CASAN,Florianópolis,UFSC-Sambaqui,,,,1.0,1,5709.0,5731.0,22.0,22.0,Lido,,186.27,,-17.6,,,168.67,168.67000000000002,0
H088 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,2294605.0,2018-02-19,Y11C073654,H088,CASAN,Florianópolis,Casa Vida e Saúde,,,,1.0,1,52.0,52.0,0.0,10.0,Mínimo,,62.27,62.27,-11.78,,,112.76,112.76,0
H089 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,2347660.0,2018-02-19,B10C016433,H089,CASAN,Florianópolis,"Estação de Maricultura Bc dos Coroas, 502",,,,1.0,1,20957.0,21126.0,169.0,169.0,Informado,,1705.22,1705.22,-322.28,,,3088.16,3088.16,0
H090 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,2347679.0,2018-02-19,A15C030480,H090,CASAN,Florianópolis,"Estação de Maricultura Bc dos Coroas, SN",,,,1.0,1,388.0,391.0,3.0,10.0,Mínimo,,62.27,62.27,-11.78,,,112.76,112.76,0
H100 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,2134608.0,2018-02-19,C13S011801,H100,ÁGUAS DE JOINVILLE,Joinville,R. Pres. Prud. De Moraes - Joinville,,,,1.0,1,3694.0,3711.0,17.0,17.0,Lido,,101.48,81.18,-8.5,,,174.16,174.16000000000003,0
H101 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,2141582.0,2018-02-19,Y10S819731,H101,ÁGUAS DE JOINVILLE,Joinville,"R. João Vogelsanger, 108 - Joinville",,,,1.0,1,319.0,320.0,1.0,10.0,Mínimo,,48.35,38.68,-8.23,,,78.8,78.8,0
H102 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,2278022.0,2018-02-19,A150001495,H102,ÁGUAS DE JOINVILLE,Joinville,R. João Colin (1) - Joinville,,,,1.0,1,3872.0,3993.0,121.0,121.0,Lido,,890.84,712.67,-74.57,,,1528.94,1528.94,0
H104 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,7876009.0,2018-02-19,Y11G512276,H104,ÁGUAS DE JOINVILLE,Joinville,"R. João Vogelsanger, 200 - Joinville",,,,1.0,1,1296.0,1315.0,19.0,19.0,Lido,,116.66,93.33,-9.76,,,200.23,200.23000000000002,0
H105 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,8686432.0,2018-02-19,A17S007631,H105,ÁGUAS DE JOINVILLE,Joinville,R. João Colin (2) - Joinville,,,,1.0,1,10.0,10.0,0.0,10.0,Informado,,48.35,38.68,-4.05,,,82.98,82.98,0
H106 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,14948508.0,2018-02-16,B11C061116,H106,CASAN,Araquari,Barra do Itapocu - Baln. Barra do Sul,,,,1.0,1,1400.0,1415.0,15.0,15.0,Lido,,113.94,,-10.77,,,103.17,103.17,0
H107 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,2131650.0,2018-02-19,A12G092144,H107,ÁGUAS DE JOINVILLE,Joinville,"R. João Colin, 2728",,,,1.0,1,234.0,289.0,55.0,55.0,Lido,,389.9,311.92,-32.63,,,669.19,669.1899999999999,0
H200 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,15431797.0,2018-02-16,B17C003784,H200,CASAN,Curitibanos,Curitibanos CEDUP,,,,1.0,1,262.0,346.0,84.0,84.0,Lido,,826.91,,-78.14,,,748.77,748.77,0
H300 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,196916.0,2018-03-01,A15L279126,H300,SAMAE Araranguá,Araranguá,Mato Alto,,,,1.0,1,812.0,843.0,31.0,31.0,Lido,,239.57,,,,,239.57,239.57,0
H301 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,1040430.0,,1040430122016001,H301,SAMAE Araranguá,Araranguá,Mato Alto - Campo de Futebol,,,,,0,529.0,530.0,1.0,10.0,,,,,,,,,0.0,0
H400 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,89548.0,2018-02-02,Y10N450699,H400,SAMAE Blumenau,Blumenau,"R. Pomerode, 710 - Blumenau",,,,1.0,1,2114.0,2135.0,21.0,24.0,Lido,,133.24,,,,,133.24,133.24,0
H401 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,38988.0,2018-02-15,A12S141289,H401,SAMAE Blumenau,Blumenau,"R. João Pessoa, 2746 - Blumenau",,,,1.0,1,2818.0,2842.0,24.0,21.0,Informado,,550.3,124.42,-11.76,,,662.96,662.9599999999999,0
H402 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,55308.0,2018-03-15,Y17AA0025980,H402,SAMAE Blumenau,Blumenau,"R. João Pessoa,2514 - Blumenau",,,,1.0,1,13.0,78.0,65.0,65.0,,,347.88,401.75,,,,749.63,749.63,0
H108 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,,,A15B040774,H108,Condomínio Perini,Joinville - Perini B. P.,Bloco O,,,,1.0,1,,,,,,,,,,,,,0.0,0
H109 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,,,F17B900021,H109,Condomínio Perini,Joinville - Perini B. P.,R.U. Comum,,,,1.0,1,,,,,,,,,,,,,0.0,0
H110 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,,,F17B900028,H110,Condomínio Perini,Joinville - Perini B. P.,R.U. Cozinha,,,,1.0,1,,,,,,,,,,,,,0.0,0
H111 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,,,C16UB020205,H111,Condomínio Perini,Joinville - Perini B. P.,Bloco U,,,,1.0,1,,,,,,,,,,,,,0.0,0
